title,location,company,salary,description,keywords,trending,sponsored,salary_pp,experience_pp(in yrs)
CLOUD COMPUTING (CSE) - Assistant Professor,Delhi,Northern India Engineering College,Not disclosed, Job Description: Qualification: A PhD Degree with first class or equivalent grade at th...,CounselorMentorTrainerAdvisorEducatorTeaching,0,0,"4,30,000",2
CLOUD COMPUTING (IT) - Associate Professor,Delhi,Northern India Engineering College,Not disclosed, Job Description: Qualification: A PhD Degree with first class or equivalent grade at th...,CounselorMentorTrainerAdvisorEducatorTeaching,0,0,"4,80,000",3
CLOUD COMPUTING (CSE) - Associate Professor,Delhi,Northern India Engineering College,Not disclosed, Job Description: Qualification: A PhD Degree with first class or equivalent grade at th...,CounselorMentorTrainerAdvisorEducatorTeaching,0,0,"4,80,000",3
CLOUD COMPUTING (IT) - Professor,Delhi,Northern India Engineering College,Not disclosed, Job Description: Qualification: A PhD Degree with first class or equivalent grade at th...,CounselorMentorTrainerAdvisorEducatorTeaching,0,0,"5,10,000",6
CLOUD COMPUTING (CSE) - Professor,Delhi,Northern India Engineering College,Not disclosed, Job Description: Qualification: A PhD Degree with first class or equivalent grade at th...,CounselorMentorTrainerAdvisorEducatorTeaching,0,0,"5,10,000",6
Cloud Computing & Virtualization- Assistant Professor,GreaterNoida,Galgotias University,Not disclosed, Post Graduate in relevant discipline with NET and/or Ph.D as per U.G.C Norms,CounselorMentorTrainerAdvisorEducatorTeaching,0,0,"5,40,000",4
Cloud Computing & Virtualization- Associate Professor,GreaterNoida,Galgotias University,Not disclosed, Ph.D with 8 years experience in the relevant field,CounselorMentorTrainerAdvisorEducatorTeaching,0,0,"8,00,000",8
Cloud Computing & Virtualization- Professor,GreaterNoida,Galgotias University,Not disclosed, Ph.D with 10 years experience in the relevant discipline or equivalent industry experience,CounselorMentorTrainerAdvisorEducatorTeaching,0,0,"10,00,000",1
Hiring For Active Directory/ Exchange Server/ Cloud Computing,Delhi,JOBS EXPERT PRIVATE LIMITED,"3,00,000 - 6,00,000 PA.", *NEED IMMEDIATE JOINERS***** .CALL LIPIKA .9999333648 .lipika.jobexpert@gmail.com Skype...,Windows ServerTroubleshootingActive DirectoryDHCPFSMOMicrosoft o365DNS ServerCloud Computing,0,0,"4,50,000",1
Hiring For Active Directory/ Exchange Server/ Cloud Computing,Bengaluru,JOBS EXPERT PRIVATE LIMITED,"3,00,000 - 6,00,000 PA.", *NEED IMMEDIATE JOINERS***** .CALL LIPIKA .9999333648 .lipika.jobexpert@gmail.com Skype...,Windows ServerTroubleshootingActive DirectoryDHCPFSMOMicrosoft o365DNS ServerCloud Computing,0,0,"4,50,000",1
